,Series_reference,Period,Data_value,Supp,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,Zeros,Suare_of_magnitude
37,ECTA.S19A2,2014.03,42895.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
38,ECTA.S19A2,2015.03,45331.2,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
39,ECTA.S19A2,2016.03,48446.0,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
40,ECTA.S19A2,2017.03,51519.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
41,ECTA.S19A2,2018.03,54817.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
42,ECTA.S19A2,2019.03,57151.8,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
43,ECTA.S19A2,2020.03,59701.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
44,ECTA.S19A2,2021.03,60264.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
45,ECTA.S19A2,2022.03,62989.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
46,ECTA.S19A2,2023.03,68555.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
47,ECTA.S19A2,2024.03,70393.8,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,RTS core industries,0,0.0,0.0,0,36
48,ECTA.S19A9,2001.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
49,ECTA.S19A9,2002.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
50,ECTA.S19A9,2003.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
51,ECTA.S19A9,2004.03,36878.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
52,ECTA.S19A9,2005.03,40756.2,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
53,ECTA.S19A9,2006.03,44303.8,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
54,ECTA.S19A9,2007.03,48616.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
55,ECTA.S19A9,2008.03,52669.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
56,ECTA.S19A9,2009.03,54475.5,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
57,ECTA.S19A9,2010.03,55977.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
58,ECTA.S19A9,2011.03,58624.9,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
59,ECTA.S19A9,2012.03,62614.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
60,ECTA.S19A9,2013.03,65296.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
61,ECTA.S19A9,2014.03,69247.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Total,0,0.0,0.0,0,36
